ID	age	sex	n_babies	observer	year	pop_size	weight
18	0	m	1	9	1980	147	4.782266546803158
28	0	m	2	12	1980	147	3.8086623850178682
154	0	f	0	17	1980	147	3.459008823397927
155	0	f	2	19	1980	147	3.4269562248019603
174	0	m	1	20	1980	147	4.211479761207767
246	0	m	2	3	1980	147	4.0198545802160055
267	0	f	2	3	1980	147	4.632646482855787
274	0	f	0	15	1980	147	3.4398551109978976
315	0	m	0	9	1980	147	4.359654716529693
357	0	m	0	17	1980	147	4.769063021616448
366	0	f	1	12	1980	147	3.4801467011609244
404	0	f	2	13	1980	147	3.341088863687429
423	0	f	1	9	1980	147	2.8063322771797004
506	0	f	1	13	1980	147	4.742721822447873
511	0	f	1	3	1980	147	NA
526	0	f	1	9	1980	147	3.7693917111735815
555	0	f	0	18	1980	147	3.7297263145556516
671	0	m	1	6	1980	147	5.010278787886316
704	0	f	2	7	1980	147	3.4217657775757053
733	0	m	0	20	1980	147	4.249701863683922
840	0	m	2	20	1980	147	NA
890	0	f	0	9	1980	147	3.2853638541661407
897	0	f	1	6	1980	147	3.9282499736281187
18	1	m	1	20	1981	160	5.772297171513507
28	1	m	2	4	1981	160	4.440174442079901
121	0	m	0	6	1981	160	3.76147110680604
137	0	m	2	1	1981	160	4.467400877373789
154	1	f	2	10	1981	160	4.220798703011199
155	1	f	1	20	1981	160	3.8826778978415595
158	0	f	0	18	1981	160	3.894025781326093
172	0	m	2	12	1981	160	4.85450950205426
210	0	f	1	2	1981	160	NA
216	0	f	2	8	1981	160	4.292119026310889
246	1	m	0	4	1981	160	4.419674269325295
250	0	f	0	10	1981	160	3.084327467014499
267	1	f	0	9	1981	160	5.144491192930104
270	0	m	2	17	1981	160	4.041222512178948
272	0	f	1	16	1981	160	2.958837381100066
274	1	f	2	4	1981	160	3.7209296203376696
308	0	f	1	18	1981	160	3.937582767691615
315	1	m	0	15	1981	160	4.501373818722354
338	0	f	2	17	1981	160	3.4812782031780465
346	0	m	2	2	1981	160	4.511342418082595
357	1	m	2	5	1981	160	4.804232703482434
366	1	f	0	11	1981	160	4.104284539663834
404	1	f	2	17	1981	160	3.937885213910122
411	0	f	0	2	1981	160	4.12219171990504
412	0	f	2	17	1981	160	2.638798626273578
423	1	f	0	14	1981	160	3.505160743751628
485	0	f	1	16	1981	160	4.307504352073414
506	1	f	0	15	1981	160	5.41852487435354
511	1	f	1	4	1981	160	3.3909667758779283
526	1	f	0	20	1981	160	4.211183415099863
555	1	f	1	6	1981	160	4.167009324311404
662	0	f	2	14	1981	160	2.9323464287671697
667	0	f	2	9	1981	160	4.125767865695467
671	1	m	2	7	1981	160	4.942688455179922
704	1	f	2	8	1981	160	4.141949562179532
733	1	m	2	4	1981	160	NA
734	0	m	0	19	1981	160	4.416362065966475
740	0	f	2	2	1981	160	3.8370745576921697
805	0	m	1	19	1981	160	3.8480645029908627
828	0	m	2	2	1981	160	3.3849631416164336
840	1	m	1	6	1981	160	4.898414301698601
890	1	f	1	14	1981	160	3.8404833883073497
897	1	f	1	12	1981	160	4.083408340393324
6	0	m	0	1	1982	123	4.155105963215538
13	0	f	1	13	1982	123	3.5991917667105287
18	2	m	1	17	1982	123	6.236126737417858
19	0	f	0	16	1982	123	4.227483867252612
28	2	m	1	13	1982	123	4.905693046023076
44	0	m	1	17	1982	123	4.073199205524198
51	0	f	0	17	1982	123	2.9855058756131374
80	0	f	2	1	1982	123	3.7408687527009747
88	0	f	0	18	1982	123	3.976036071831267
101	0	m	2	20	1982	123	3.4096732624474266
121	1	m	1	19	1982	123	4.231386087410966
124	0	f	1	18	1982	123	2.4163220948020507
126	0	m	1	18	1982	123	4.737334221071264
137	1	m	0	2	1982	123	NA
153	0	f	1	3	1982	123	4.361206412274069
154	2	f	2	3	1982	123	NA
155	2	f	2	6	1982	123	4.42267747132348
158	1	f	1	17	1982	123	4.35795999303786
168	0	f	1	13	1982	123	2.972117241471036
172	1	m	1	18	1982	123	5.035537839221202
210	1	f	2	11	1982	123	5.218744526875018
240	0	f	2	11	1982	123	3.1686731092408595
242	0	f	2	14	1982	123	NA
246	2	m	1	3	1982	123	4.701469299654356
250	1	f	1	10	1982	123	4.122088431490489
267	2	f	2	17	1982	123	NA
270	1	m	1	17	1982	123	4.620835457564827
272	1	f	2	9	1982	123	3.897038699074187
274	2	f	2	5	1982	123	4.747481478801446
308	1	f	1	17	1982	123	4.53038422552118
315	2	m	2	10	1982	123	5.383252277559689
338	1	f	2	14	1982	123	4.241788335410366
346	1	m	1	16	1982	123	NA
357	2	m	0	2	1982	123	5.671156371073774
366	2	f	0	15	1982	123	NA
404	2	f	2	14	1982	123	NA
411	1	f	2	10	1982	123	NA
412	1	f	0	19	1982	123	3.3629776132609894
418	0	f	0	20	1982	123	4.016180503469281
423	2	f	0	8	1982	123	4.174895640106056
426	0	f	2	10	1982	123	4.312103762504119
462	0	m	2	12	1982	123	4.181114035101054
485	1	f	0	17	1982	123	4.689230057388663
506	2	f	1	7	1982	123	6.0953347476848725
511	2	f	0	16	1982	123	4.413344350866124
521	0	m	2	14	1982	123	4.138033152522082
526	2	f	0	15	1982	123	4.741171347074813
527	0	f	2	13	1982	123	4.212886323939069
555	2	f	2	16	1982	123	NA
590	0	f	0	15	1982	123	3.7805882193343443
628	0	m	1	15	1982	123	3.5236701566144535
662	1	f	2	4	1982	123	3.5192243565075807
667	1	f	1	4	1982	123	4.2135015111956236
671	2	m	1	18	1982	123	6.397898078839774
678	0	m	2	19	1982	123	4.229654955304577
704	2	f	0	3	1982	123	4.659875470855425
733	2	m	2	1	1982	123	5.357970538977141
734	1	m	1	2	1982	123	4.7974733925449
740	1	f	0	15	1982	123	NA
758	0	f	1	4	1982	123	3.692225443873192
777	0	f	1	14	1982	123	4.6880137226554766
805	1	m	1	12	1982	123	4.34163081197618
817	0	m	1	13	1982	123	4.056543817111502
828	1	m	2	17	1982	123	3.77966297877004
831	0	m	1	11	1982	123	4.396112158479432
840	2	m	0	7	1982	123	4.955159720138167
847	0	m	0	20	1982	123	4.885975521975738
897	2	f	1	2	1982	123	4.55450212826487
6	1	m	0	4	1983	151	4.4655383071812835
13	1	f	0	13	1983	151	3.817014760117034
18	3	m	1	14	1983	151	5.895016619258399
28	3	m	1	13	1983	151	4.901159037964778
44	1	m	0	9	1983	151	4.139987508311535
50	0	f	0	17	1983	151	2.982993245188927
51	1	f	2	8	1983	151	3.594289822082486
80	1	f	1	20	1983	151	3.630219336662819
88	1	f	2	13	1983	151	NA
101	1	m	0	1	1983	151	3.116262079518466
105	0	m	1	14	1983	151	3.3645100127180463
114	0	m	2	9	1983	151	2.6904796732378298
121	2	m	2	18	1983	151	NA
124	1	f	1	17	1983	151	2.5780486124530193
126	1	m	1	9	1983	151	4.770309719366534
127	0	f	0	5	1983	151	3.2029392423456837
135	0	m	0	4	1983	151	4.893813734471985
137	2	m	2	15	1983	151	5.105755186081344
153	1	f	1	17	1983	151	4.3473163926749185
154	3	f	2	7	1983	151	4.615832241230019
155	3	f	0	18	1983	151	4.080877165208556
158	2	f	0	9	1983	151	4.198674980694069
